,Date,Close,name
215,2015-11-09,14.418,stribro
216,2015-11-10,14.356,stribro
217,2015-11-11,14.262,stribro
218,2015-11-12,14.224,stribro
219,2015-11-13,14.203,stribro
220,2015-11-16,14.221,stribro
221,2015-11-17,14.17,stribro
222,2015-11-18,14.08,stribro
223,2015-11-19,14.242,stribro
224,2015-11-20,14.106,stribro
225,2015-11-23,14.042,stribro
226,2015-11-24,14.169,stribro
227,2015-11-25,14.168,stribro
228,2015-11-27,14.008,stribro
229,2015-11-30,14.05,stribro
230,2015-12-01,14.055,stribro
231,2015-12-02,13.979,stribro
232,2015-12-03,14.053,stribro
233,2015-12-04,14.505,stribro
234,2015-12-07,14.307,stribro
235,2015-12-08,14.091,stribro
236,2015-12-09,14.164,stribro
237,2015-12-10,14.085,stribro
238,2015-12-11,13.859,stribro
239,2015-12-14,13.666,stribro
240,2015-12-15,13.74,stribro
241,2015-12-16,14.218,stribro
242,2015-12-17,13.683,stribro
243,2015-12-18,14.08,stribro
244,2015-12-21,14.301,stribro
245,2015-12-22,14.302,stribro
246,2015-12-23,14.277,stribro
247,2015-12-24,14.369,stribro
248,2015-12-28,13.873,stribro
249,2015-12-29,13.917,stribro
250,2015-12-30,13.814,stribro
251,2015-12-31,13.775,stribro
252,2016-01-04,13.817,stribro
253,2016-01-05,13.949,stribro
254,2016-01-06,13.957,stribro
255,2016-01-07,14.335,stribro
256,2016-01-08,13.908,stribro
257,2016-01-11,13.855,stribro
258,2016-01-12,13.74,stribro
259,2016-01-13,14.145,stribro
260,2016-01-14,13.737,stribro
261,2016-01-15,13.884,stribro
262,2016-01-18,,stribro
263,2016-01-19,14.11,stribro
264,2016-01-20,14.147,stribro
265,2016-01-21,14.083,stribro
266,2016-01-22,14.043,stribro
267,2016-01-25,14.24,stribro
268,2016-01-26,14.544,stribro
269,2016-01-27,14.44,stribro
270,2016-01-28,14.216,stribro
271,2016-01-29,14.229,stribro
272,2016-02-01,14.329,stribro
273,2016-02-02,14.276,stribro
274,2016-02-03,14.72,stribro
275,2016-02-04,14.836,stribro
276,2016-02-05,14.764,stribro
277,2016-02-08,15.416,stribro
278,2016-02-09,15.444,stribro
279,2016-02-10,15.277,stribro
280,2016-02-11,15.789,stribro
281,2016-02-12,15.785,stribro
282,2016-02-15,,stribro
283,2016-02-16,15.329,stribro
284,2016-02-17,15.372,stribro
285,2016-02-18,15.427,stribro
286,2016-02-19,15.368,stribro
287,2016-02-22,15.179,stribro
288,2016-02-23,15.235,stribro
289,2016-02-24,15.292,stribro
290,2016-02-25,15.165,stribro
291,2016-02-26,14.689,stribro
292,2016-02-29,14.896,stribro
293,2016-03-01,14.733,stribro
294,2016-03-02,15.003,stribro
295,2016-03-03,15.131,stribro
296,2016-03-04,15.681,stribro
297,2016-03-07,15.623,stribro
298,2016-03-08,15.384,stribro
299,2016-03-09,15.355,stribro
300,2016-03-10,15.546,stribro
301,2016-03-11,15.607,stribro
302,2016-03-14,15.518,stribro
303,2016-03-15,15.255,stribro
304,2016-03-16,15.214,stribro
305,2016-03-17,16.021998999999997,stribro
306,2016-03-18,15.806,stribro
307,2016-03-21,15.841,stribro
308,2016-03-22,15.877,stribro
309,2016-03-23,15.263,stribro
310,2016-03-24,15.191,stribro
311,2016-03-28,15.194,stribro
312,2016-03-29,15.237,stribro
313,2016-03-30,15.206,stribro
314,2016-03-31,15.46,stribro
315,2016-04-01,15.042,stribro
316,2016-04-04,14.942,stribro
317,2016-04-05,15.114,stribro
318,2016-04-06,15.052,stribro
